rule
kˀ -> ɡ / ⋊ __ o ⋉
pˀ -> p / ⋊ __ ɨ ⋉
p -> m / ⋊ __ i ⋉
i -> ĩ / ⋊ p __ ⋉
tˀ -> ɾ / ⋊ __ e ⋉
tˀ -> d / ⋊ __ o ⋉
j -> ɲ / ⋊ ã __ a ⋉
a -> ã / ⋊ ã j __ ⋉
t͡s -> s / ⋊ a __ ɨ ⋉
ɨ -> i / ⋊ a t͡s __ ⋉
ɨ̃ -> ẽ / ⋊ __ kʷˀ e ⋉
kʷˀ -> ˀk / ⋊ ɨ̃ __ e ⋉
e -> ẽ / ⋊ ɨ̃ kʷˀ __ ⋉
ɨ -> ɨ̃ / ⋊ __ m ɨ ⋉
ɨ -> ɨ̃ / ⋊ ɨ m __ ⋉
ɨ -> ɨ̃ / ⋊ __ n e ⋉
e -> ẽ / ⋊ ɨ n __ ⋉
a -> ã / ⋊ m __ h a ⋉
a -> ã / ⋊ m a h __ ⋉
a -> ã / ⋊ m __ s i ⋉
i -> ĩ / ⋊ m a s __ ⋉
a -> ∅ / ⋊ m __ ʔ a ⋉
ʔ -> ∅ / ⋊ m a __ a ⋉
a -> ã / ⋊ m a ʔ __ ⋉
e -> ẽ / ⋊ m __ k a ⋉
a -> ã / ⋊ m e k __ ⋉
i -> ĩ / ⋊ m __ m i ⋉
i -> ĩ / ⋊ m i m __ ⋉
ɨ -> ɨ̃ / ⋊ m __ t͡s a ⋉
t͡s -> s / ⋊ m ɨ __ a ⋉
a -> ã / ⋊ m ɨ t͡s __ ⋉
ɨ -> ɨ̃ / ⋊ m __ tˀ o ⋉
tˀ -> ˀn / ⋊ m ɨ __ o ⋉
o -> õ / ⋊ m ɨ tˀ __ ⋉
ɨ -> ɨ̃ / ⋊ m __ t e ⋉
e -> ẽ / ⋊ m ɨ t __ ⋉
e -> ẽ / ⋊ n __ ʔ e ⋉
e -> ẽ / ⋊ n e ʔ __ ⋉
i -> ĩ / ⋊ n __ tː i ⋉
tː -> t / ⋊ n i __ i ⋉
i -> ĩ / ⋊ n i tː __ ⋉
ɨ -> ɨ̃ / ⋊ n __ kˀ ⋉
kˀ -> ˀk / ⋊ n ɨ __ ⋉
∅ -> ã / ⋊ n ɨ kˀ __ ⋉
o -> ũ / ⋊ n __ ⋉
∅ -> n / ⋊ n o __ ⋉
∅ -> ĩ / ⋊ n o __ ⋉
j -> s / ⋊ o __ o ⋉
kː -> k / ⋊ o __ o ⋉
tː -> t / ⋊ o __ e ⋉
pˀ -> b / ⋊ __ e kː o ⋉
kː -> k / ⋊ pˀ e __ o ⋉
pˀ -> b / ⋊ __ ɨ p ɨ ⋉
pˀ -> b / ⋊ __ u t u ⋉
pˀ -> m / ⋊ __ ã t͡s ã ⋉
t͡s -> s / ⋊ pˀ ã __ ã ⋉
pˀ -> b / ⋊ __ a j a ⋉
j -> s / ⋊ pˀ a __ a ⋉
pˀ -> m / ⋊ __ e n e ⋉
e -> ẽ / ⋊ pˀ __ n e ⋉
e -> ẽ / ⋊ pˀ e n __ ⋉
pˀ -> b / ⋊ __ i a ⋉
pˀ -> b / ⋊ __ i p o ⋉
o -> e / ⋊ pˀ i p __ ⋉
pˀ -> b / ⋊ __ ɨ k ɨ ⋉
pˀ -> b / ⋊ __ o ⋉
o -> u / ⋊ pˀ __ ⋉
∅ -> t / ⋊ pˀ o __ ⋉
∅ -> i / ⋊ pˀ o __ ⋉
pˀ -> m / ⋊ __ o p a ⋉
p -> ˀm / ⋊ pˀ o __ a ⋉
a -> o / ⋊ pˀ o p __ ⋉
pˀ -> b / ⋊ __ o p e ⋉
pˀ -> m / ⋊ __ õ s a ⋉
a -> ã / ⋊ pˀ õ s __ ⋉
pˀ -> b / ⋊ __ o tˀ i k a ⋉
tˀ -> ˀt / ⋊ pˀ o __ i k a ⋉
i -> e / ⋊ pˀ o tˀ __ k a ⋉
k -> ∅ / ⋊ pˀ o tˀ i __ a ⋉
pˀ -> b / ⋊ __ u p i ⋉
u -> i / ⋊ pˀ __ p i ⋉
u -> õ / ⋊ p ã m __ ⋉
ˀj -> ˀs / ⋊ p a __ a ⋉
tˀ -> ˀt / ⋊ p e __ i ⋉
i -> ∅ / ⋊ p __ a t a ⋉
a -> e / ⋊ p i __ t a ⋉
o -> õ / ⋊ p ĩ k __ ⋉
∅ -> t / ⋊ p u __ ⋉
∅ -> i / ⋊ p u __ ⋉
e -> ẽ / ⋊ s __ m e ⋉
e -> ẽ / ⋊ s e m __ ⋉
ĩ -> ã / ⋊ s __ kˀ e ⋉
kˀ -> ˀk / ⋊ s ĩ __ e ⋉
e -> ẽ / ⋊ s ĩ kˀ __ ⋉
ˀj -> ˀs / ⋊ s ɨ __ o ⋉
õ -> ũ / ⋊ s __ k ɨ ⋉
ɨ -> ũ / ⋊ s õ k __ ⋉
o -> ɨ / ⋊ s __ t ⋉
∅ -> ɨ / ⋊ s o t __ ⋉
a -> ã / ⋊ s õ ʔ __ ⋉
tˀ -> n / ⋊ __ ɨ̃ kˀ o ⋉
kˀ -> ˀk / ⋊ tˀ ɨ̃ __ o ⋉
o -> õ / ⋊ tˀ ɨ̃ kˀ __ ⋉
tˀ -> n / ⋊ __ ɨ kː ɨ ⋉
ɨ -> ɨ̃ / ⋊ tˀ __ kː ɨ ⋉
kː -> k / ⋊ tˀ ɨ __ ɨ ⋉
ɨ -> ɨ̃ / ⋊ tˀ ɨ kː __ ⋉
tˀ -> n / ⋊ __ ɨ̃ p o ⋉
p -> m / ⋊ tˀ ɨ̃ __ o ⋉
o -> õ / ⋊ tˀ ɨ̃ p __ ⋉
tˀ -> d / ⋊ __ ɨ tː e ⋉
tː -> t / ⋊ tˀ ɨ __ e ⋉
tˀ -> d / ⋊ __ o j e ⋉
j -> ∅ / ⋊ tˀ o __ e ⋉
tˀ -> n / ⋊ __ õ m i ⋉
õ -> ũ / ⋊ tˀ __ m i ⋉
i -> ĩ / ⋊ tˀ õ m __ ⋉
∅ -> õ / ⋊ tˀ õ m i __ ⋉
t͡ʃ -> s / ⋊ __ ɨ a ⋉
ɨ -> u / ⋊ t͡ʃ __ a ⋉
t͡ʃ -> s / ⋊ __ õ pˀ ɨ ⋉
õ -> ũ / ⋊ t͡ʃ __ pˀ ɨ ⋉
pˀ -> m / ⋊ t͡ʃ õ __ ɨ ⋉
ɨ -> ũ / ⋊ t͡ʃ õ pˀ __ ⋉
j -> ∅ / ⋊ t a __ a ⋉
t -> ∅ / ⋊ __ a kː e ⋉
kː -> k / ⋊ t a __ e ⋉
t͡s -> j / ⋊ __ ã kˀ ɨ ⋉
ã -> a / ⋊ t͡s __ kˀ ɨ ⋉
kˀ -> ˀɡ / ⋊ t͡s ã __ ɨ ⋉
ɨ -> e / ⋊ t͡s ã kˀ __ ⋉
t͡s -> ɾ / ⋊ __ a s e ⋉
s -> t͡ʃ / ⋊ t͡s a __ e ⋉
t͡s -> ɲ / ⋊ __ e m e ⋉
e -> ẽ / ⋊ t͡s __ m e ⋉
e -> ẽ / ⋊ t͡s e m __ ⋉
t͡s -> ɲ / ⋊ __ ĩ ⋉
∅ -> ĩ / ⋊ t͡s ĩ __ ⋉
t͡s -> d / ⋊ __ i a ⋉
a -> e / ⋊ t͡s i __ ⋉
t͡s -> d / ⋊ __ i a ⋉
t͡s -> d / ⋊ __ i a ⋉
t͡s -> d / ⋊ __ i e ⋉
e -> i / ⋊ t͡s i __ ⋉
t͡s -> d / ⋊ __ i tː a ⋉
tː -> t / ⋊ t͡s i __ a ⋉
t͡s -> d / ⋊ __ ɨ p o ⋉
t͡s -> ∅ / ⋊ __ ɨ s e o ⋉
s -> ˀs / ⋊ t͡s ɨ __ e o ⋉
o -> ∅ / ⋊ t͡s ɨ s e __ ⋉
t͡s -> j / ⋊ __ o a ⋉
t͡s -> s / ⋊ __ ã s a ⋉
s -> n / ⋊ t͡s ã __ a ⋉
a -> ã / ⋊ t͡s ã s __ ⋉
t͡s -> j / ⋊ __ ẽ s e ⋉
ẽ -> e / ⋊ t͡s __ s e ⋉
t͡s -> n / ⋊ __ i m a ⋉
i -> ĩ / ⋊ t͡s __ m a ⋉
a -> ã / ⋊ t͡s i m __ ⋉
t͡s -> s / ⋊ __ ɨ̃ pˀ e ⋉
ɨ̃ -> ɨ / ⋊ t͡s __ pˀ e ⋉
pˀ -> ˀm / ⋊ t͡s ɨ̃ __ e ⋉
t͡s -> j / ⋊ __ ɨ s i ⋉
i -> ɨ / ⋊ t͡s ɨ s __ ⋉
∅ -> a / ⋊ t͡s ɨ s i __ ⋉
t͡s -> j / ⋊ __ ũ kː ɨ ⋉
ũ -> u / ⋊ t͡s __ kː ɨ ⋉
kː -> k / ⋊ t͡s ũ __ ɨ ⋉
∅ -> t / ⋊ __ t u ⋉
∅ -> u / ⋊ __ t u ⋉
u -> õ / ⋊ __ p e ⋉
e -> ẽ / ⋊ u p __ ⋉
tː -> t / ⋊ u __ i ⋉
j -> ˀs / ⋊ w a __ a ⋉
j -> ˀs / ⋊ w a __ o ⋉
o -> u / ⋊ w a j __ ⋉
w -> w̃ / ⋊ __ ã m i ⋉
i -> ẽ / ⋊ w ã m __ ⋉
tː -> t / ⋊ w ã __ i ⋉
kː -> k / ⋊ w e __ ɨ ⋉
kː -> k / ⋊ w e __ o ⋉
o -> õ / ⋊ w ĩ n __ ⋉
ɨ -> i / ⋊ w __ ʔ e ⋉
e -> i / ⋊ w ɨ ʔ __ ⋉
w -> b / ⋊ __ ɨ̃ p o ⋉
ɨ̃ -> ɨ / ⋊ w __ p o ⋉
w -> b / ⋊ __ u ɨ ⋉
ɨ -> u / ⋊ w u __ ⋉
kˀ -> ∅ / ⋊ __ ɨ̃ t a ⋉
a -> ã / ⋊ kˀ ɨ̃ t __ ⋉
